row_id,tweet_id,date,post_type,language,like_count,retweet_count,reply_count,text,raw_content,hashtags,retweeted_tweet,quoted_tweet,url,user,dataset_split,sampling_strategy,sampled_at
1,1801347589377552891,2024-06-13,retweet,en,275,17,27,@joniernst There will be a blue wave like no one has ever seen before.  Many people are saying it will be a bigly win for Joe Biden.,@joniernst There will be a blue wave like no one has ever seen before.  Many people are saying it will be a bigly win for Joe Biden.,[],False,False,https://twitter.com/keltrott/status/1801347589377552891,"""{'id': 4214425967, 'id_str': '4214425967', 'url': 'https://twitter.com/Kelley Trott \ud83d\udfe6\ud83d\udfe7', 'username': 'Kelley Trott \ud83d\udfe6\ud83d\udfe7', 'rawDescription': 'Girl Mom, pup lover, travel enthusiast, bleeding heart liberal, public school advocate, no DMs, American \ud83c\uddfa\ud83c\uddf8\ud83c\uddfa\ud83c\udde6\ud83c\udf3b', 'created': datetime.datetime(2015, 11, 18, 1, 56, 15, tzinfo=datetime.timezone.utc), 'followersCount': 3615, 'friendsCount': 4578, 'statusesCount': 124767, 'favouritesCount': 411110, 'listedCount': 24, 'mediaCount': 1963, 'location': 'United States', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1818970715841789952/Lkdg3vSE_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
2,1801014626538139947,2024-06-12,retweet,en,470,262,24,Trump is the BOSS! https://t.co/3Mb9T5BFeN,Trump is the BOSS! https://t.co/3Mb9T5BFeN,[],False,False,https://twitter.com/MAGA__Patriot/status/1801014626538139947,"""{'id': 3436761485, 'id_str': '3436761485', 'url': 'https://twitter.com/Trump Girl \ud83c\uddfa\ud83c\uddf2\ud83e\udd85\ud83c\uddfa\ud83c\uddf2', 'username': 'Trump Girl \ud83c\uddfa\ud83c\uddf2\ud83e\udd85\ud83c\uddfa\ud83c\uddf2', 'rawDescription': '#America1st #TRUMP2024 #Conservative #Patriot \ud83e\udd85#BackTheBlue\ud83d\udc6e\ud83c\udffb#1A \u2764\ufe0f#2A\ud83e\udd0d #Prolife\ud83d\udc99  #BornInTheUSA \ud83c\uddfa\ud83c\uddf8\ud83c\uddfa\ud83c\uddf8 \ud83d\udeabList', 'created': datetime.datetime(2015, 8, 23, 14, 22, 13, tzinfo=datetime.timezone.utc), 'followersCount': 103414, 'friendsCount': 37566, 'statusesCount': 335650, 'favouritesCount': 46437, 'listedCount': 35, 'mediaCount': 11974, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1716943253092843520/XsT-thkj_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
3,1801016730321305632,2024-06-12,retweet,en,1694,276,21,"You have to start with the scoop from @nypost and @EmmaJoNYC. 

Their lede from October was damning:

“Hunter Biden introduced his father, then-Vice President Joe Biden, to a top executive at a Ukrainian energy firm less than a year before the elder Biden pressured government https://t.co/ESDS29uk1Y","You have to start with the scoop from @nypost and @EmmaJoNYC. 

Their lede from October was damning:

“Hunter Biden introduced his father, then-Vice President Joe Biden, to a top executive at a Ukrainian energy firm less than a year before the elder Biden pressured government https://t.co/ESDS29uk1Y",[],False,False,https://twitter.com/DrewHolden360/status/1801016730321305632,"""{'id': 927604589909733376, 'id_str': '927604589909733376', 'url': 'https://twitter.com/Drew Holden', 'username': 'Drew Holden', 'rawDescription': 'Link to my Substack about the media, @Holden_Court, is below. Also seen in: @nytimes @NRO @federalist & more. Keeper of receipts. Maker of\ud83e\uddf5threads\ud83e\uddf5', 'created': datetime.datetime(2017, 11, 6, 18, 32, 23, tzinfo=datetime.timezone.utc), 'followersCount': 170550, 'friendsCount': 3020, 'statusesCount': 49865, 'favouritesCount': 190717, 'listedCount': 944, 'mediaCount': 7529, 'location': 'Washington, DC', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1466226230475300867/GLL8bkPI_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
4,1801019544305041422,2024-06-12,retweet,en,345,79,81,"Rachel Maddow Melts Down Over New Trump Theory

The Russiagate hoax queen is now spreading a conspiracy theory that a reelected Donald Trump is going to ship her off to one of his “massive camps.“

“I’m worried about the country broadly if we put someone in power who is openly https://t.co/rwVCoCJ5mP","Rachel Maddow Melts Down Over New Trump Theory

The Russiagate hoax queen is now spreading a conspiracy theory that a reelected Donald Trump is going to ship her off to one of his “massive camps.“

“I’m worried about the country broadly if we put someone in power who is openly https://t.co/rwVCoCJ5mP",[],False,False,https://twitter.com/VigilantFox/status/1801019544305041422,"""{'id': 191871143, 'id_str': '191871143', 'url': 'https://twitter.com/The Vigilant Fox \ud83e\udd8a', 'username': 'The Vigilant Fox \ud83e\udd8a', 'rawDescription': 'Editor-in-Chief @VigilantNews. Writer, video clipper, and pro-freedom citizen journalist with 12 years of healthcare experience.', 'created': datetime.datetime(2010, 9, 17, 15, 38, 32, tzinfo=datetime.timezone.utc), 'followersCount': 1187011, 'friendsCount': 2223, 'statusesCount': 25226, 'favouritesCount': 29086, 'listedCount': 4882, 'mediaCount': 8920, 'location': 'USA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1657046545265557504/7wQ3wrAv_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
5,1801036773797032169,2024-06-12,retweet,en,219,64,216,The White House isn't ruling out a potential commutation for Hunter Biden after his conviction https://t.co/8E9jOvhA5r,The White House isn't ruling out a potential commutation for Hunter Biden after his conviction https://t.co/8E9jOvhA5r,[],False,False,https://twitter.com/AP/status/1801036773797032169,"""{'id': 51241574, 'id_str': '51241574', 'url': 'https://twitter.com/The Associated Press', 'username': 'The Associated Press', 'rawDescription': 'Advancing the power of facts, globally \ud83c\udf0e', 'created': datetime.datetime(2009, 6, 26, 21, 48, 52, tzinfo=datetime.timezone.utc), 'followersCount': 15978138, 'friendsCount': 6503, 'statusesCount': 369644, 'favouritesCount': 4335, 'listedCount': 105957, 'mediaCount': 14298, 'location': 'Global', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1736863672029310976/gzIskvxa_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
6,1801008929360502905,2024-06-12,retweet,en,152,35,7,"@SpeakerJohnson MAGA Mike Johnson doesn’t work for the American people, he works for Trump. https://t.co/AXdvIawjCO","@SpeakerJohnson MAGA Mike Johnson doesn’t work for the American people, he works for Trump. https://t.co/AXdvIawjCO",[],False,False,https://twitter.com/Laurieluvsmolly/status/1801008929360502905,"""{'id': 912232086211371008, 'id_str': '912232086211371008', 'url': 'https://twitter.com/\ud83e\udeb4Laurie', 'username': '\ud83e\udeb4Laurie', 'rawDescription': 'Urban Gardener\ud83e\udeb4 Animal Lover\ud83e\udda6 Art\ud83c\udfa8 history\ud83d\udddd\ufe0f literature\ud83d\udcd7Travel \ud83d\udcbaDemocrat\ud83d\uddf3\ufe0f #Resist #Empath #ProChoice #ProudBlue #DemsUnited #FightDisinformation', 'created': datetime.datetime(2017, 9, 25, 8, 27, 32, tzinfo=datetime.timezone.utc), 'followersCount': 19202, 'friendsCount': 14917, 'statusesCount': 160339, 'favouritesCount': 214690, 'listedCount': 212, 'mediaCount': 47920, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1683009827184713728/bei9fmyD_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
7,1801349170378199213,2024-06-13,retweet,en,102,20,5,"Many of the Wilmingtonians I talked to were floored to hear that the president's son wasn't acquitted, given who his famous father is and that the trial took place in Biden's backyard.

Here's what Biden's hometown had to say about Hunter's conviction:

https://t.co/qMOWU5agNb","Many of the Wilmingtonians I talked to were floored to hear that the president's son wasn't acquitted, given who his famous father is and that the trial took place in Biden's backyard.

Here's what Biden's hometown had to say about Hunter's conviction:

https://t.co/qMOWU5agNb",[],False,False,https://twitter.com/MiaCathell/status/1801349170378199213,"""{'id': 1963387334, 'id_str': '1963387334', 'url': 'https://twitter.com/Mia Cathell', 'username': 'Mia Cathell', 'rawDescription': \""Investigative reporter @Townhallcom mia.cathell@townhall.com | former American News editor @TPostMillennial | Boston University '21 | Pronounced kuh-THELL\"", 'created': datetime.datetime(2013, 10, 15, 20, 57, 4, tzinfo=datetime.timezone.utc), 'followersCount': 64991, 'friendsCount': 1197, 'statusesCount': 7487, 'favouritesCount': 19543, 'listedCount': 244, 'mediaCount': 893, 'location': 'Living the American Dream \ud83c\uddfa\ud83c\uddf2', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1685402876191920128/OO_0fmhM_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
8,1801348561478500390,2024-06-13,retweet,en,444,65,6,"@dom_lucre They may be able to afford Biden, but we can’t.","@dom_lucre They may be able to afford Biden, but we can’t.",[],False,True,https://twitter.com/3rdGener/status/1801348561478500390,"""{'id': 41155686, 'id_str': '41155686', 'url': 'https://twitter.com/Allison Dyer', 'username': 'Allison Dyer', 'rawDescription': '\u201cCoincidence is God\u2019s way of remaining Anonymous\u201d', 'created': datetime.datetime(2009, 5, 19, 16, 56, 1, tzinfo=datetime.timezone.utc), 'followersCount': 15531, 'friendsCount': 4915, 'statusesCount': 17415, 'favouritesCount': 29652, 'listedCount': 27, 'mediaCount': 5653, 'location': 'The U S Of A ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1760791645367222272/PNGBuD8c_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
9,1801003649230905458,2024-06-12,retweet,en,420,157,48,The Biden Administration has opened our banking system to the so-called “Mipymes” in Cuba. How will we know that the Cuban regime will not then use them to finance terrorism? See what I think here. https://t.co/6W6J2gQ7ml,The Biden Administration has opened our banking system to the so-called “Mipymes” in Cuba. How will we know that the Cuban regime will not then use them to finance terrorism? See what I think here. https://t.co/6W6J2gQ7ml,[],False,False,https://twitter.com/MaElviraSalazar/status/1801003649230905458,"""{'id': 40282700, 'id_str': '40282700', 'url': 'https://twitter.com/Mar\u00eda Elvira Salazar \ud83c\uddfa\ud83c\uddf8', 'username': 'Mar\u00eda Elvira Salazar \ud83c\uddfa\ud83c\uddf8', 'rawDescription': \""Congresswoman \u2022 5x Emmy Award-winning journalist \u2022 Daughter of exiles \u2022 Nico & Marti's mom \u2022 Representing beautiful South Florida #FL27 \u2600\ufe0f\ud83c\udf34\"", 'created': datetime.datetime(2009, 5, 15, 17, 4, 40, tzinfo=datetime.timezone.utc), 'followersCount': 209232, 'friendsCount': 382, 'statusesCount': 8595, 'favouritesCount': 4171, 'listedCount': 803, 'mediaCount': 4409, 'location': 'Miami, FL', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1330198139761029120/2BXDHgyI_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
10,1801027749638803565,2024-06-12,retweet,en,355,4,9,"@MaceAhWindu It isn't nuance though.

Nuance was the rise of Anakin.

This is abject shit.","@MaceAhWindu It isn't nuance though.

Nuance was the rise of Anakin.

This is abject shit.",[],False,False,https://twitter.com/TheMagaHulk/status/1801027749638803565,"""{'id': 1559762417319567361, 'id_str': '1559762417319567361', 'url': 'https://twitter.com/Lucky', 'username': 'Lucky', 'rawDescription': 'Catholic, Paleoconservative, MAGA-Hulk, Attorney at Law', 'created': datetime.datetime(2022, 8, 17, 4, 42, 8, tzinfo=datetime.timezone.utc), 'followersCount': 12147, 'friendsCount': 1047, 'statusesCount': 53323, 'favouritesCount': 64039, 'listedCount': 88, 'mediaCount': 9552, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1815142857155457024/q2socr0c_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,stratified_engagement,2026-02-15 21:02:17.120153
