row_id,tweet_id,text,raw_content,date,post_type,language,like_count,retweet_count,reply_count,retweeted_tweet,quoted_tweet,in_reply_to_screen_name,hashtags,mentioned_users,user,user_id,url,dataset_split,sampled_at
1,1801040031588454724,"@oskarzwittau @0grerogue @DenisonBarbs @joshgerstein @kyledcheney The guy behind and to the right of him isn't singing or dancing either.

I'll stick w/ Biden","@oskarzwittau @0grerogue @DenisonBarbs @joshgerstein @kyledcheney The guy behind and to the right of him isn't singing or dancing either.

I'll stick w/ Biden",2024-06-12,reply,en,0,0,2,False,False,oskarzwittau,[],[],"""{'id': 2479203790, 'id_str': '2479203790', 'url': 'https://twitter.com/Elongated Muskrat', 'username': 'Elongated Muskrat', 'rawDescription': 'BLM\\nShe/her. \\nSeize every day w/ the same confidence as a mediocre white dude.', 'created': datetime.datetime(2014, 4, 12, 16, 9, 23, tzinfo=datetime.timezone.utc), 'followersCount': 508, 'friendsCount': 389, 'statusesCount': 43882, 'favouritesCount': 8666, 'listedCount': 28, 'mediaCount': 7114, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1638232595006627841/_NY23O50_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/PamBalamm/status/1801040031588454724,,2026-02-15 17:25:41.192625
2,1801040613703389352,"@iu70us @Travis_4_Trump No. Not how it works. Biden simply didn't invoke Executive Privilege at various times he could have to allow Hurr to complete his investigation.

Transcript of the investigation exists. Biden simply invoked Executive Privilege for the audio portion, which, of course, is his right","@iu70us @Travis_4_Trump No. Not how it works. Biden simply didn't invoke Executive Privilege at various times he could have to allow Hurr to complete his investigation.

Transcript of the investigation exists. Biden simply invoked Executive Privilege for the audio portion, which, of course, is his right",2024-06-12,reply,en,0,0,0,False,False,iu70us,[],[],"""{'id': 19188325, 'id_str': '19188325', 'url': 'https://twitter.com/Tony Vece', 'username': 'Tony Vece', 'rawDescription': '', 'created': datetime.datetime(2009, 1, 19, 16, 4, 25, tzinfo=datetime.timezone.utc), 'followersCount': 600, 'friendsCount': 97, 'statusesCount': 126594, 'favouritesCount': 3145, 'listedCount': 54, 'mediaCount': 2238, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/71905478/photo3A_normal.JPG', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/italianmaster/status/1801040613703389352,,2026-02-15 17:25:41.192625
3,1801040016040149357,Kissing the hand of Biden on Juneteenth https://t.co/8rb38UcYL5,Kissing the hand of Biden on Juneteenth https://t.co/8rb38UcYL5,2024-06-12,reply,en,10,4,2,False,False,,[],[],"""{'id': 1336954921816641538, 'id_str': '1336954921816641538', 'url': 'https://twitter.com/Elon Musk is an Insecure Fascist', 'username': 'Elon Musk is an Insecure Fascist', 'rawDescription': 'Free Palestine \ud83d\udea9\ud83c\udff3\ufe0f\\u200d\ud83c\udf08 Commie, police abolitionist, anti-fascist, \ud83c\udff3\ufe0f\\u200d\u26a7\ufe0f ally, anti-imperialist (he/him) BLM, ACAB', 'created': datetime.datetime(2020, 12, 10, 8, 44, 34, tzinfo=datetime.timezone.utc), 'followersCount': 2622, 'friendsCount': 6589, 'statusesCount': 79903, 'favouritesCount': 180557, 'listedCount': 22, 'mediaCount': 1915, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1336955521912496128/O1vdvLu7_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/NiklasNorman1/status/1801040016040149357,,2026-02-15 17:25:41.192625
4,1801041529336648114,@JesseBWatters The best way to get the feds to do a good job enforcing  gun laws is for Joe Biden to legally adopt all americans.,@JesseBWatters The best way to get the feds to do a good job enforcing  gun laws is for Joe Biden to legally adopt all americans.,2024-06-12,reply,en,0,0,0,False,False,JesseBWatters,[],[],"""{'id': 1599198358731722752, 'id_str': '1599198358731722752', 'url': 'https://twitter.com/Daniel', 'username': 'Daniel', 'rawDescription': '', 'created': datetime.datetime(2022, 12, 4, 0, 26, 40, tzinfo=datetime.timezone.utc), 'followersCount': 32, 'friendsCount': 29, 'statusesCount': 411, 'favouritesCount': 1175, 'listedCount': 0, 'mediaCount': 7, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1599198465178877952/bYH71SPq_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/DanielSqx18/status/1801041529336648114,,2026-02-15 17:25:41.192625
5,1801039331693322423,"I want a president who is strong and will stand up for America. A president who won’t take any shit. A president who will speak honestly. Biden is none of those things…in fact, he’s the exact opposite.","I want a president who is strong and will stand up for America. A president who won’t take any shit. A president who will speak honestly. Biden is none of those things…in fact, he’s the exact opposite.",2024-06-12,reply,en,2,1,0,False,False,,[],[],"""{'id': 1568019406034276353, 'id_str': '1568019406034276353', 'url': 'https://twitter.com/DaringDani1253', 'username': 'DaringDani1253', 'rawDescription': 'Empathetic, honest, blunt, loving, creative, adventureseome, hard-working, curious, unapologetic. Oh, and nobody cares what your pronouns are.', 'created': datetime.datetime(2022, 9, 8, 23, 32, 23, tzinfo=datetime.timezone.utc), 'followersCount': 107, 'friendsCount': 108, 'statusesCount': 3866, 'favouritesCount': 2034, 'listedCount': 0, 'mediaCount': 19, 'location': 'Eastern Pennsylvania', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1640041705062670339/dUzO29L9_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/DSinger1253/status/1801039331693322423,,2026-02-15 17:25:41.192625
6,1801040690131927276,"@FFT1776 They are all criminals! Corrupted by the almighty dollar. Biden is a P.O.S. and so is trump. Red and Blue are not for you. 2 heads of the same snake. The day that people realize this and unite, is the day we can actually turn this country around. Politicians serve corporations","@FFT1776 They are all criminals! Corrupted by the almighty dollar. Biden is a P.O.S. and so is trump. Red and Blue are not for you. 2 heads of the same snake. The day that people realize this and unite, is the day we can actually turn this country around. Politicians serve corporations",2024-06-12,reply,en,0,0,1,False,False,FFT1776,[],[],"""{'id': 1546180717079662592, 'id_str': '1546180717079662592', 'url': 'https://twitter.com/Hester Pierce Of Shite', 'username': 'Hester Pierce Of Shite', 'rawDescription': 'Turn ons.....Hedge Funds, Stealing From Retail, Dark Pools, Swaps, Spoofing, Ponzi Schemes Turn offs......Protecting Retail, Fair Market, Transparency', 'created': datetime.datetime(2022, 7, 10, 17, 13, 17, tzinfo=datetime.timezone.utc), 'followersCount': 63, 'friendsCount': 80, 'statusesCount': 256, 'favouritesCount': 1449, 'listedCount': 0, 'mediaCount': 50, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1546180848566898692/CSP6gybJ_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/RetailMolester/status/1801040690131927276,,2026-02-15 17:25:41.192625
7,1801040395230384231,"And Biden has claimed Executive privilege!

FU @GOP","And Biden has claimed Executive privilege!

FU @GOP",2024-06-12,reply,en,0,0,0,False,True,,[],[],"""{'id': 745986831972442112, 'id_str': '745986831972442112', 'url': 'https://twitter.com/Because I AM!', 'username': 'Because I AM!', 'rawDescription': 'Fierce defender of personal rights! \\nWomen must stop attacking women, Ds must stop attacking Ds! \\nHolding the center, because extremism is just too much!', 'created': datetime.datetime(2016, 6, 23, 14, 28, 15, tzinfo=datetime.timezone.utc), 'followersCount': 570, 'friendsCount': 375, 'statusesCount': 136767, 'favouritesCount': 68221, 'listedCount': 2, 'mediaCount': 2168, 'location': 'Florida, USA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/981251793991606272/hD57pDMe_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/notjustme112233/status/1801040395230384231,,2026-02-15 17:25:41.192625
8,1801039722011136118,"@DougWahl1 No, I think it highlights how great a stepmom Jill Biden  is/ Joe Biden's kids are HER kids and she is there for them/ She is a fierce fighter for the family/ It only makes me applaud her more to know that she is the stepmom","@DougWahl1 No, I think it highlights how great a stepmom Jill Biden  is/ Joe Biden's kids are HER kids and she is there for them/ She is a fierce fighter for the family/ It only makes me applaud her more to know that she is the stepmom",2024-06-12,reply,en,0,0,0,False,False,DougWahl1,[],[],"""{'id': 26773353, 'id_str': '26773353', 'url': 'https://twitter.com/#Truth #MaskUpSTILL', 'username': '#Truth #MaskUpSTILL', 'rawDescription': 'SocialConscience;Truth;BrothersKeeper;SavePlanet/Equality JOIN ME inCivil Discourse/HumanRights RT=Noteworthy/ NO DM/ VAXXED', 'created': datetime.datetime(2009, 3, 26, 15, 27, 36, tzinfo=datetime.timezone.utc), 'followersCount': 13802, 'friendsCount': 14757, 'statusesCount': 550236, 'favouritesCount': 172615, 'listedCount': 235, 'mediaCount': 12921, 'location': ' USA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1415356245654085638/WVGewECS_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/mortgageconsult/status/1801039722011136118,,2026-02-15 17:25:41.192625
9,1801041377750376619,"Last Call for 6.12.24 — A prime-time read of what’s going down in Florida politics: Last Call — A prime-time read of what’s going down in Florida politics.  

 First Shot  

 Gov. Ron DeSantis signed Florida’s new budget, cutting close to $1 billion in… https://t.co/TwCNKALocm https://t.co/XweB16C20x","Last Call for 6.12.24 — A prime-time read of what’s going down in Florida politics: Last Call — A prime-time read of what’s going down in Florida politics.  

 First Shot  

 Gov. Ron DeSantis signed Florida’s new budget, cutting close to $1 billion in… https://t.co/TwCNKALocm https://t.co/XweB16C20x",2024-06-12,reply,en,0,0,0,False,False,,[],[],"""{'id': 1591076408817848320, 'id_str': '1591076408817848320', 'url': 'https://twitter.com/Binturong', 'username': 'Binturong', 'rawDescription': 'King of the Tin Foil', 'created': datetime.datetime(2022, 11, 11, 14, 32, 46, tzinfo=datetime.timezone.utc), 'followersCount': 14899, 'friendsCount': 5771, 'statusesCount': 275021, 'favouritesCount': 2876, 'listedCount': 4, 'mediaCount': 7101, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1734079149352927232/Av88He8c_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/NWMNBint/status/1801041377750376619,,2026-02-15 17:25:41.192625
10,1801039272717201714,@thetrueshelby Only the best are MAGA!  😂😂😂😂,@thetrueshelby Only the best are MAGA!  😂😂😂😂,2024-06-12,reply,en,0,0,0,False,False,thetrueshelby,[],[],"""{'id': 1606727767969652736, 'id_str': '1606727767969652736', 'url': 'https://twitter.com/PigBoy', 'username': 'PigBoy', 'rawDescription': 'Advocate for Human Rights. Despise injustice.  Despise exploitation.  The MAGA movement is humanity at its darkest and lowest.  Hopeful for the future.', 'created': datetime.datetime(2022, 12, 24, 19, 5, 53, tzinfo=datetime.timezone.utc), 'followersCount': 670, 'friendsCount': 3640, 'statusesCount': 13462, 'favouritesCount': 14551, 'listedCount': 1, 'mediaCount': 17, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1606727885045354496/VP4xcCI6_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,https://twitter.com/pigbusiness12/status/1801039272717201714,,2026-02-15 17:25:41.192625
