row_id,tweet_id,date,post_type,language,like_count,retweet_count,reply_count,text,raw_content,hashtags,retweeted_tweet,quoted_tweet,url,user,dataset_split,sampling_strategy,sampled_at
1,1801010497577222533,2024-06-12,reply,en,0,0,0,"@acnewsitics Wow, nice to see you. Hate America. Good luck to you Trump 2024 whether you like it or not why don’t you go visit Hunter and Joe Biden in the slam","@acnewsitics Wow, nice to see you. Hate America. Good luck to you Trump 2024 whether you like it or not why don’t you go visit Hunter and Joe Biden in the slam",[],False,False,https://twitter.com/Kristi1969777/status/1801010497577222533,"""{'id': 1588767319236280320, 'id_str': '1588767319236280320', 'url': 'https://twitter.com/Kristi Justice', 'username': 'Kristi Justice', 'rawDescription': 'Heart of Gold', 'created': datetime.datetime(2022, 11, 5, 5, 37, 25, tzinfo=datetime.timezone.utc), 'followersCount': 195, 'friendsCount': 355, 'statusesCount': 1813, 'favouritesCount': 2437, 'listedCount': 3, 'mediaCount': 963, 'location': 'Tiburon, CA', 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
2,1801033078208373208,2024-06-12,reply,en,0,0,0,@KatiePavlich MAGA hats would have been a nice touch.,@KatiePavlich MAGA hats would have been a nice touch.,[],False,False,https://twitter.com/tedpeck51312/status/1801033078208373208,"""{'id': 1597607537683365889, 'id_str': '1597607537683365889', 'url': 'https://twitter.com/Ted Peck', 'username': 'Ted Peck', 'rawDescription': 'USMC 1966-1970', 'created': datetime.datetime(2022, 11, 29, 15, 7, 30, tzinfo=datetime.timezone.utc), 'followersCount': 209, 'friendsCount': 151, 'statusesCount': 4595, 'favouritesCount': 646, 'listedCount': 0, 'mediaCount': 3, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1601959713893412865/QQojIhTV_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
3,1801041584181391818,2024-06-12,reply,en,2,0,0,@brianstelter @MSNBC Me watching Trump fans call Biden old: https://t.co/koYkTAM9DJ,@brianstelter @MSNBC Me watching Trump fans call Biden old: https://t.co/koYkTAM9DJ,[],False,False,https://twitter.com/drsrednivashtar/status/1801041584181391818,"""{'id': 884678738, 'id_str': '884678738', 'url': 'https://twitter.com/Sredni Vashtar, Ph.D. \u2014 We Won\u2019t Go Back', 'username': 'Sredni Vashtar, Ph.D. \u2014 We Won\u2019t Go Back', 'rawDescription': 'Nerdwonk antenna-head. Apatheist. Pragmatic social democrat. Vaxed to the max. She/her. #Harris2024. BlackLivesMatter. #GenerationJones. I block people a lot.', 'created': datetime.datetime(2012, 10, 16, 15, 36, 6, tzinfo=datetime.timezone.utc), 'followersCount': 985, 'friendsCount': 2633, 'statusesCount': 22222, 'favouritesCount': 68724, 'listedCount': 16, 'mediaCount': 169, 'location': 'The hutch behind the shed ', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1249193079174770690/L_HtigHp_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
4,1801030320008900915,2024-06-12,reply,en,0,0,0,"@ProudElephantUS No one should have to fill out form 4473.
No one should be charged with 922(g). 

But if you are going to charge poor kids, then privileged white boy Hunter Biden get to be charged and spend 6 months in prison.","@ProudElephantUS No one should have to fill out form 4473.
No one should be charged with 922(g). 

But if you are going to charge poor kids, then privileged white boy Hunter Biden get to be charged and spend 6 months in prison.",[],False,False,https://twitter.com/harding_nathan/status/1801030320008900915,"""{'id': 631268301, 'id_str': '631268301', 'url': 'https://twitter.com/Nathan Harding', 'username': 'Nathan Harding', 'rawDescription': '', 'created': datetime.datetime(2012, 7, 9, 15, 36, 56, tzinfo=datetime.timezone.utc), 'followersCount': 456, 'friendsCount': 1726, 'statusesCount': 9713, 'favouritesCount': 46386, 'listedCount': 2, 'mediaCount': 200, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1429281312326569985/i2O28ni7_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
5,1801005559941869667,2024-06-12,reply,en,0,0,0,@acnewsitics What does MAGA mean to American citizens?,@acnewsitics What does MAGA mean to American citizens?,[],False,False,https://twitter.com/BudAtCamp/status/1801005559941869667,"""{'id': 711670918326710272, 'id_str': '711670918326710272', 'url': 'https://twitter.com/Bud Handel', 'username': 'Bud Handel', 'rawDescription': '', 'created': datetime.datetime(2016, 3, 20, 21, 49, 3, tzinfo=datetime.timezone.utc), 'followersCount': 328, 'friendsCount': 681, 'statusesCount': 8389, 'favouritesCount': 2402, 'listedCount': 10, 'mediaCount': 3, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1434122217286258689/gfEZqAtd_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
6,1801002971683025120,2024-06-12,reply,en,1,0,0,@TeamTrump @realDonaldTrump @LoganPaul Club #Bolsonaro team #Trump2024 🇧🇷🇺🇸 https://t.co/X0WPYtvWX8,@TeamTrump @realDonaldTrump @LoganPaul Club #Bolsonaro team #Trump2024 🇧🇷🇺🇸 https://t.co/X0WPYtvWX8,[],False,False,https://twitter.com/Carlos_YoshioK/status/1801002971683025120,"""{'id': 1785126096255512576, 'id_str': '1785126096255512576', 'url': 'https://twitter.com/carlos_yoshio\u26a1', 'username': 'carlos_yoshio\u26a1', 'rawDescription': '', 'created': datetime.datetime(2024, 4, 30, 1, 56, 54, tzinfo=datetime.timezone.utc), 'followersCount': 580, 'friendsCount': 1299, 'statusesCount': 6734, 'favouritesCount': 5062, 'listedCount': 0, 'mediaCount': 889, 'location': 'Banania, Brasil', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1829363544241979392/icmKw8KU_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': True, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
7,1801031817471881275,2024-06-12,reply,en,0,0,0,@starmack86 @academic_la @4montero1 That's right @starmack86. This is NOT a social media Op. I accidentally deleted my former post (still trying to get used to Twitter world) where I stated I am a liberal Democrat but I am furious and totally disgusted with Biden's flip-flopping on Israel. His words (such as when,@starmack86 @academic_la @4montero1 That's right @starmack86. This is NOT a social media Op. I accidentally deleted my former post (still trying to get used to Twitter world) where I stated I am a liberal Democrat but I am furious and totally disgusted with Biden's flip-flopping on Israel. His words (such as when,[],False,False,https://twitter.com/drsuemd/status/1801031817471881275,"""{'id': 93193898, 'id_str': '93193898', 'url': 'https://twitter.com/DocSue', 'username': 'DocSue', 'rawDescription': 'American Jew, Proud Zionist. Israelis love life. Jihadist psychopaths love the afterlife. God bless the IDF for helping them achieve their dream!', 'created': datetime.datetime(2009, 11, 28, 14, 32, 40, tzinfo=datetime.timezone.utc), 'followersCount': 738, 'friendsCount': 771, 'statusesCount': 1695, 'favouritesCount': 598, 'listedCount': 1, 'mediaCount': 24, 'location': 'Westchester/Rockland County', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1796243584171057152/3zlhQuGy_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
8,1801347391540359294,2024-06-13,reply,en,0,0,1,"@kirbohtwo @099h057 @_emergent_ @elonmusk and the other side says black power… neither is better than the other

unsure what a red hat has to do with anything, if a maga hat triggers u that much then hope is lost for you","@kirbohtwo @099h057 @_emergent_ @elonmusk and the other side says black power… neither is better than the other

unsure what a red hat has to do with anything, if a maga hat triggers u that much then hope is lost for you",[],False,False,https://twitter.com/afcCoop/status/1801347391540359294,"""{'id': 1312076060532649990, 'id_str': '1312076060532649990', 'url': 'https://twitter.com/yo', 'username': 'yo', 'rawDescription': '@arsenal / @suns mikal bridges fan\ud83e\udd72', 'created': datetime.datetime(2020, 10, 2, 17, 4, 51, tzinfo=datetime.timezone.utc), 'followersCount': 160, 'friendsCount': 113, 'statusesCount': 16830, 'favouritesCount': 57420, 'listedCount': 4, 'mediaCount': 632, 'location': 'BOS', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1629616218679148547/mXMVHhiV_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
9,1801037817667076191,2024-06-12,reply,en,0,0,0,@jsolomonReports Lock him up!,@jsolomonReports Lock him up!,[],False,False,https://twitter.com/haasmhaas1/status/1801037817667076191,"""{'id': 3025318246, 'id_str': '3025318246', 'url': 'https://twitter.com/MonkeyPoxxer(Audit/The/FED) ULTRA MAGA \ud83c\uddfa\ud83c\uddf8', 'username': 'MonkeyPoxxer(Audit/The/FED) ULTRA MAGA \ud83c\uddfa\ud83c\uddf8', 'rawDescription': \""Let's go Brandon! END The FED!!!! #Trumpwon  Dismantle the FBI! #2A\"", 'created': datetime.datetime(2015, 2, 8, 17, 54, 48, tzinfo=datetime.timezone.utc), 'followersCount': 840, 'friendsCount': 905, 'statusesCount': 24104, 'favouritesCount': 46860, 'listedCount': 1, 'mediaCount': 213, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1527740312113799169/mOHQfSyq_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
10,1801007660659085669,2024-06-12,reply,en,0,0,1,"@Pickledfins Biden mandated the vaxx - never trump- Florida one of the first states to reopen - schools, stores- zero vaxx mandate for gov wkrs - unlike Dem state govs who also mandated the vaxx - facts","@Pickledfins Biden mandated the vaxx - never trump- Florida one of the first states to reopen - schools, stores- zero vaxx mandate for gov wkrs - unlike Dem state govs who also mandated the vaxx - facts",[],False,False,https://twitter.com/OthercitizenT/status/1801007660659085669,"""{'id': 1428235289370181633, 'id_str': '1428235289370181633', 'url': 'https://twitter.com/Othercitizen', 'username': 'Othercitizen', 'rawDescription': 'don\u2019t assume- esp while accusing others', 'created': datetime.datetime(2021, 8, 19, 6, 0, 24, tzinfo=datetime.timezone.utc), 'followersCount': 883, 'friendsCount': 460, 'statusesCount': 63266, 'favouritesCount': 144868, 'listedCount': 6, 'mediaCount': 1, 'location': '', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1812238502978863104/z6eNduCp_normal.jpg', 'profileBannerUrl': 'PW', 'protected': 'PW', 'verified': False, 'blue': False, 'blueType': None, 'descriptionLinks': ['PW'], '_type': 'PW'}""",,random,2026-02-15 20:27:11.802983
