row_id,tweet_id,text,like_count,date
1,1801010497577222533,"@acnewsitics Wow, nice to see you. Hate America. Good luck to you Trump 2024 whether you like it or not why don’t you go visit Hunter and Joe Biden in the slam",0,2024-06-12
2,1801033078208373208,@KatiePavlich MAGA hats would have been a nice touch.,0,2024-06-12
3,1801041584181391818,@brianstelter @MSNBC Me watching Trump fans call Biden old: https://t.co/koYkTAM9DJ,2,2024-06-12
4,1801030320008900915,"@ProudElephantUS No one should have to fill out form 4473.
No one should be charged with 922(g). 

But if you are going to charge poor kids, then privileged white boy Hunter Biden get to be charged and spend 6 months in prison.",0,2024-06-12
5,1801005559941869667,@acnewsitics What does MAGA mean to American citizens?,0,2024-06-12
6,1801002971683025120,@TeamTrump @realDonaldTrump @LoganPaul Club #Bolsonaro team #Trump2024 🇧🇷🇺🇸 https://t.co/X0WPYtvWX8,1,2024-06-12
7,1801031817471881275,@starmack86 @academic_la @4montero1 That's right @starmack86. This is NOT a social media Op. I accidentally deleted my former post (still trying to get used to Twitter world) where I stated I am a liberal Democrat but I am furious and totally disgusted with Biden's flip-flopping on Israel. His words (such as when,0,2024-06-12
8,1801347391540359294,"@kirbohtwo @099h057 @_emergent_ @elonmusk and the other side says black power… neither is better than the other

unsure what a red hat has to do with anything, if a maga hat triggers u that much then hope is lost for you",0,2024-06-13
9,1801037817667076191,@jsolomonReports Lock him up!,0,2024-06-12
10,1801007660659085669,"@Pickledfins Biden mandated the vaxx - never trump- Florida one of the first states to reopen - schools, stores- zero vaxx mandate for gov wkrs - unlike Dem state govs who also mandated the vaxx - facts",0,2024-06-12
11,1801002686562611591,"@akafacehots If he's the most honorable,  I shudder to think of the people that pervert biden associates with. I think jill might also be perverted.",0,2024-06-12
12,1801006195500515458,28. donald trump is gonna be looked at in ~60 years as one of the worst presidents in US history,3,2024-06-12
13,1801035944713134418,@cnnbrk Remember how Joe Biden invented the cages used to torture children when he was VP? You should.,0,2024-06-12
14,1801040391984001119,"@Yeditwit @BossyMother @Travis_4_Trump Better orange than a pedophile that showers with his own daughter. Why did Biden cancel DNA testing at the border,where's 85,000 missing immigrant children?",1,2024-06-12
15,1801024548495896773,@RepMTG Interesting how your constituency never backs you on X or MAGA for that fact.,0,2024-06-12
16,1801014680133013826,"@SpeakerJohnson Hunter guilty on 3 and accepts the verdict. Trump is guilty on 34. You’re all Trump’s patsies. Biden swears by the Constitution, while you defend an infidel’s self-centered revenge and destruction, to bypass all accountability. We all know how this ends. #MAGAisToast #Democracy",0,2024-06-12
17,1801027703912399150,"When will the #Media show us the speeches made by the minority leader
addressing this #MAGAMORON  @GOP vote against Garland? #MSNBC.",0,2024-06-12
18,1801009849846882562,@MayoIsSpicyy Donald Trump was never convicted of rape! Just another lie being floated out there!,0,2024-06-12
19,1801030164203151462,"Bibi was uncomfortable even offering negotiations for a permanent peace, hence all the hawkish messaging coming out of his office after Biden leaked the details. This whole thing is just Hamas torpedoing it.

Hopefully this is just a negotiating tactic.",1,2024-06-12
20,1801030602814066843,Biden has achieved the rigor mortis stage.,0,2024-06-12
21,1801036011067281738,@joe_jo4 @GreenKM117 @Miah1320 @CCSResearch22 @EdKrassen No she with me,0,2024-06-12
22,1801026997566541997,If ever there was a reason to boot Biden out of office this is it.,4,2024-06-12
23,1801040975466283331,"MAGA Nation, Sound Off!❗
https://t.co/7eqhplCjje",0,2024-06-12
24,1801027743242756195,Joe Biden's Campaign in Talks to Accept Crypto Donations Through Coinbase Commerce,0,2024-06-12
25,1801029257147154505,@Miah1320 @joe_jo4 @CCSResearch22 @EdKrassen Yes post your body jay.,0,2024-06-12
26,1801017148116013362,"@QuintonLSmith @kbo_coyote @jackikotkiewicz Questions like this are 100% meaningless without context.

Biden did really well compared to the rest of the world.

And Trump would make things much WORSE by prosecuting and deporting the people who pick our crops, and build and landscape in the summer heat.

That's context.",5,2024-06-12
27,1801003414588973295,Trump was right again. Biden is going to start WWIII,2,2024-06-12
28,1801013914739556402,"@CraigChamberlin @ScottAdamsSays Defenders of the former guy keep saying that. Prosecutors had no problem charging Menendez, Cuellar and Hunter Biden. Why? Evidence of wrongdoing. Does your anger supersede that? Or is your favorite ex-president simply that divine?",0,2024-06-12
29,1801007431125700805,Wife of GOP Senate Candidate Speaks Out About Her Abortion https://t.co/VGD4US7P4L via @thedailybeast,0,2024-06-12
30,1801011133693809042,"@GOP Biden doesn't set prices, duh. Should we revisit economic performance by the numbers by party?  Republicans can't govern.",0,2024-06-12
31,1801008056433848686,Raped a young boy? Wonder how long before Biden let's this illegal out of jail? One day? Two days maybe?,0,2024-06-12
32,1801019411685425275,Biden looks for creative solutions to keep the Ukraine funding stream flowing https://t.co/Fr6BqrtRy8,123,2024-06-12
33,1801036561976271105,@BidensWins That is a blatant lie! Joe Biden lies and it is disgraceful.,0,2024-06-12
34,1801038031933092021,"@josettecaruso @MattWallace888 absolutly correct, and who could even hold their hands that way for SO Long!  How long can the demorats act as if all is well, I suppose it is, since Biden is NOT in the PICTURE",0,2024-06-12
35,1801006379127525773,Congratulations 🎉🎉🎉🎉🎉,0,2024-06-12
36,1801022016566239324,ERROR 404: Keir Starmer malfunctions live on TV 😂 https://t.co/pfBeAinoXZ,6,2024-06-12
37,1801347253422145815,@GOP_RAC Hello,1,2024-06-13
38,1801003273240907901,"@BidenHQ Uh huh. American mfg has gone offshore under Biden's 40 years, and he's made a mint of personal money promoting it. 

Let's tax those rich ppl and yell at their American based companies for making a profit some more! 🧐🙄🤦",0,2024-06-12
39,1801348641900347631,"@RepLisaMcClain Sadly, it is you and your fellow MAGA Tumpistas who are playing games, at the expense of our republic and all who live here.  It's really disheartening that you continue to stand by that criminal, all for the sake of power and personal wealth.",4,2024-06-13
