row_id,text,hashtags,post_type,like_count,date
1,🎃 “Hocus POTUS! Trump is my BOO! 🧙‍♀️ Let’s make some magic happen this weekend and head to the polls on November 5th! #Trump2024 #TrumpForce47 #VoteRed #MAGA #SpookySeason #FinalCountdown #SwampTheVote https://t.co/nJMFmUQJZc,"""[{'indices': [119, 129], 'text': 'Trump2024'}, {'indices': [130, 143], 'text': 'TrumpForce47'}, {'indices': [144, 152], 'text': 'VoteRed'}, {'indices': [153, 158], 'text': 'MAGA'}, {'indices': [159, 172], 'text': 'SpookySeason'}, {'indices': [173, 188], 'text': 'FinalCountdown'}, {'indices': [189, 202], 'text': 'SwampTheVote'}]""",tweet,9,2024-10-31
2,"🚨 #BREAKING: AP has CONFIRMED the White House ILLEGALLY ALTERED the transcript of Joe Biden calling Trump supports “garbage”

This is a BLATANT violation of the Presidential Records Act, and WH press officials MUST BE PROSECUTED.

DO NOT LET THEM GET AWAY WITH THIS! https://t.co/0EisKXVvUc","""[{'indices': [2, 11], 'text': 'BREAKING'}]""",tweet,73630,2024-11-01
3,"MAKE AMERICA GREAT AGAIN! https://t.co/czQRkZmr59 
#FightForAmerica https://t.co/KT1SzCpQpt","""[{'indices': [51, 67], 'text': 'FightForAmerica'}]""",tweet,115972,2024-11-04
4,"Bought a home in Pennsylvania just to vote for Donald Trump. 

I’m settling down &amp; making this my home. 

Here to stay. 
#ElectionDay https://t.co/J2GuHacyY0","""[{'indices': [125, 137], 'text': 'ElectionDay'}]""",tweet,223755,2024-11-05
5,"🚨🇺🇸$100,000 GIVEAWAY

I've done the unthinkable: I placed a $200,000 bet on Trump.

I get $324,000 if he wins.

I'll give away $100,000 on X. I'll pick two winners, $50,000 to two people.

Comment below. This is the biggest giveaway I've ever done.

#Trump2024 #ElectionDay https://t.co/hEvA7hhWfY","""[{'indices': [250, 260], 'text': 'Trump2024'}, {'indices': [261, 273], 'text': 'ElectionDay'}]""",tweet,6806,2024-11-05
6,"BREAKING: Fed Chair Jerome Powell just made it clear—if Trump tries to fire him, he legally can’t.
what is your reaction to this? 
 #FEDpolicy #Trump2024 #finance https://t.co/WNgDEZSnlB","""[{'indices': [132, 142], 'text': 'FEDpolicy'}, {'indices': [143, 153], 'text': 'Trump2024'}, {'indices': [154, 162], 'text': 'finance'}]""",tweet,11,2024-11-08
7,"If Donald Trump win this Election I will Donate 10000$ to everyone who Retweet &amp; like this Post 

#USElections2024 
#electionday2024 
#USPresidentialElection2024 
#ElonMusk 
#Trump2024 https://t.co/EEHciVA60g","""[{'indices': [102, 118], 'text': 'USElections2024'}, {'indices': [120, 136], 'text': 'electionday2024'}, {'indices': [138, 165], 'text': 'USPresidentialElection2024'}, {'indices': [167, 176], 'text': 'ElonMusk'}, {'indices': [178, 188], 'text': 'Trump2024'}]""",tweet,107,2024-11-05
8,"JUST IN: 🇺🇸 Pro #Bitcoin President Donald Trump says ""we're going to be paying down debt, we're going to be reducing taxes."" https://t.co/OnfwHDY7UO","""[{'indices': [16, 24], 'text': 'Bitcoin'}]""",tweet,4922,2024-11-06
9,"🇺🇸 Donald Trump: ""Never sell your #Bitcoin"" ✊

 https://t.co/KbFAm4VDJC","""[{'indices': [34, 42], 'text': 'Bitcoin'}]""",tweet,9167,2024-11-03
10,"Exactly @EricTrump- your father’s stamina is unmatched. We MUST VOTE @realDonaldTrump to MAGA! #Trump2024NowMorethanEver 
 https://t.co/NVlRRDR3Sa","""[{'indices': [95, 120], 'text': 'Trump2024NowMorethanEver'}]""",tweet,251,2024-11-03
11,Like if you want to thank Donald Trump for this #Bitcoin pump.👇 https://t.co/MxotspmEBB,"""[{'indices': [48, 56], 'text': 'Bitcoin'}]""",tweet,2624,2024-11-10
12,"Congratulations Donald Trump 🇺🇸

I am sending $100 to 10 people to celebrate 

Just like, retweet and be following me 

Random winners picked in 24 hours 

#Trump #Election2024","""[{'indices': [156, 162], 'text': 'Trump'}, {'indices': [163, 176], 'text': 'Election2024'}]""",tweet,1258,2024-11-06
13,Follow @kath38935 🇺🇸 #MAGA https://t.co/KuS7wEjzvu,"""[{'indices': [21, 26], 'text': 'MAGA'}]""",tweet,18,2024-11-08
14,"Despite the loss on Tuesday, my fellow Georgia Democrats and I are organizing and ready to stymie Donald Trump and JD Vance’s far-right, inflationary agenda and elect Democrats up and down the ballot. Because when we fight, we win! #gapol https://t.co/5MTJ2iGWkh","""[{'indices': [232, 238], 'text': 'gapol'}]""",tweet,28,2024-11-08
15,"Keep the patriots coming!!!!
#MAGA 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 https://t.co/IWu0cggZ1D","""[{'indices': [29, 34], 'text': 'MAGA'}]""",tweet,7,2024-11-03
16,"Newly-elected MAGA Senator says the quiet part out loud: “trump knew he was going to win on election day, he’s known it for a long time.” #TrumpCheated https://t.co/odOcWf87XR","""[{'indices': [138, 151], 'text': 'TrumpCheated'}]""",tweet,17891,2024-11-08
17,“I just voted. I chose family. I chose women. I chose America!” 🇺🇸🌊👊💙🥹#Vote #VoteForKamala #USDemocracy #TryNotToCry https://t.co/gtV4brzgKU,"""[{'indices': [70, 75], 'text': 'Vote'}, {'indices': [76, 90], 'text': 'VoteForKamala'}, {'indices': [91, 103], 'text': 'USDemocracy'}, {'indices': [104, 116], 'text': 'TryNotToCry'}]""",tweet,12490,2024-11-05
18,"MSM everyday

Check out Comedy special's video! #TikTok https://t.co/J4Ds0eR9Na","""[{'indices': [48, 55], 'text': 'TikTok'}]""",tweet,0,2024-11-02
19,"Hey America,
After Kamala Harris becomes the 47th President in a landslide victory, can you please pass a fucking law to ensure that a felonious, treasonous, vile piece of human garbage like Donald Trump can never become president again?
Thanks!
 #HarrisWalz2024InALandslide","""[{'indices': [247, 274], 'text': 'HarrisWalz2024InALandslide'}]""",tweet,7151,2024-11-03
20,"If Donald Trump win this Election I will Donate 10$ to everyone who Retweet &amp; like this Post ✨🎉

#USElections2024 
#Electionday
#USElections2024 https://t.co/bBxjG7Noug","""[{'indices': [101, 117], 'text': 'USElections2024'}, {'indices': [119, 131], 'text': 'Electionday'}, {'indices': [132, 148], 'text': 'USElections2024'}]""",tweet,3,2024-11-05
21,"🌹NAT’L VOTER GUIDE👇🏻

VOTE 🗳️ NOW‼️🎉
VOTE 🗳️ #TRUMP47 ♥️
VOTE 🗳️ ALL 🔴 RED🇺🇸

Party of SUSTAINABILITY,
HARRIS-BIDEN destroyed America, USD &amp; Economy
Debt Interest Unsustainable!
America about to Crumble‼️

#TRUMP47SaveAmerica

💣U.S. Nat’l Debt Clock:😱 https://t.co/8cZ328ity5","""[{'indices': [45, 53], 'text': 'TRUMP47'}, {'indices': [210, 229], 'text': 'TRUMP47SaveAmerica'}]""",tweet,29,2024-11-02
22,Like if you believe #Dogecoin can hit $1 before the end of President Donald Trump term! $DOGE 🤝 $1 🚀💎 https://t.co/J0ezZmxVTi,"""[{'indices': [20, 29], 'text': 'Dogecoin'}]""",tweet,1227,2024-11-06
23,"Rest in Peace Peanut
#MAGA","""[{'indices': [21, 26], 'text': 'MAGA'}]""",tweet,1,2024-11-03
24,"Dr Jeremy Sherman has a word (several) for #Maga/#MapleMaga. 

You’re all suckers. 

Watch this…

https://t.co/8R8uRen1M3","""[{'indices': [43, 48], 'text': 'Maga'}, {'indices': [49, 59], 'text': 'MapleMaga'}]""",tweet,1099,2024-11-03
25,STAY IN LINE!!! #TRUMP2024,"""[{'indices': [16, 26], 'text': 'TRUMP2024'}]""",tweet,15719,2024-11-05
