row_id,text,like_count,date
1,@joniernst There will be a blue wave like no one has ever seen before.  Many people are saying it will be a bigly win for Joe Biden.,275,2024-06-13
2,Trump is the BOSS! https://t.co/3Mb9T5BFeN,470,2024-06-12
3,"You have to start with the scoop from @nypost and @EmmaJoNYC. 

Their lede from October was damning:

“Hunter Biden introduced his father, then-Vice President Joe Biden, to a top executive at a Ukrainian energy firm less than a year before the elder Biden pressured government https://t.co/ESDS29uk1Y",1694,2024-06-12
4,"Rachel Maddow Melts Down Over New Trump Theory

The Russiagate hoax queen is now spreading a conspiracy theory that a reelected Donald Trump is going to ship her off to one of his “massive camps.“

“I’m worried about the country broadly if we put someone in power who is openly https://t.co/rwVCoCJ5mP",345,2024-06-12
5,The White House isn't ruling out a potential commutation for Hunter Biden after his conviction https://t.co/8E9jOvhA5r,219,2024-06-12
6,"@SpeakerJohnson MAGA Mike Johnson doesn’t work for the American people, he works for Trump. https://t.co/AXdvIawjCO",152,2024-06-12
7,"Many of the Wilmingtonians I talked to were floored to hear that the president's son wasn't acquitted, given who his famous father is and that the trial took place in Biden's backyard.

Here's what Biden's hometown had to say about Hunter's conviction:

https://t.co/qMOWU5agNb",102,2024-06-13
8,"@dom_lucre They may be able to afford Biden, but we can’t.",444,2024-06-13
9,The Biden Administration has opened our banking system to the so-called “Mipymes” in Cuba. How will we know that the Cuban regime will not then use them to finance terrorism? See what I think here. https://t.co/6W6J2gQ7ml,420,2024-06-12
10,"@MaceAhWindu It isn't nuance though.

Nuance was the rise of Anakin.

This is abject shit.",355,2024-06-12
11,"Donald Trump admits he still has a gun, despite felony convictions - It is a violation of federal law for someone convicted of felonies to possess a firearm. https://t.co/1S4wVcLcXn

,",121,2024-06-12
12,"This smarmy little bastage needs to be arrested and sentenced to jail. But in the end, the @GOP will do nothing. https://t.co/8YjRVRcyNb",305,2024-06-12
13,"BREAKING: Donald Trump says ""We want all the remaining Bitcoin to be made in the USA""

BULLISH. 📈 https://t.co/J7z5OsngIt",168,2024-06-12
14,"🧵Well-placed sources tell us that Trump White House leaker and queen Trump HATER, @KMWalsh_gop, and her husband Mike Shield have been “FIRED” from the RNC and given a promotion at the Trump Super PAC! 

Walsh and Shields (like LaCavita the🐍) have made millions off hating on https://t.co/v9uoHmNDO2",234,2024-06-12
15,@POTUS Who actually believes Joe Biden…?,461,2024-06-12
16,@OliLondonTV took her 8 months - she is meaningless and it is all part of trying to push Biden reelection,601,2024-06-12
17,"During the 2020 campaign, Joe Biden promised no less than 10 million new ""green jobs."" 

Nearly four years later, where are these green jobs? 

Promises made, promises broken. The Biden Way.",299,2024-06-12
18,"Peter Dutton’s Liberals aren’t even pretending to care about future generations anymore, they just copying Donald Trump’s nasty politics:

Anti-climate
Anti -migrant
Anti-women

They really are just the Nasty Party",1179,2024-06-12
19,Hard to decide which is more frightening for the United States. Four more years of Zombie Biden at the helm of the world's superpower or Calamitous Kamala Harris in charge.,157,2024-06-12
20,"Have you heard all the Democrats bitching about Hunter Biden’s guilty verdict?

Me either.",318,2024-06-12
21,"How many of you *are* or *like* ""Maga Communists?""",117,2024-06-12
22,@ejeancarroll You’re a disgrace to real rape victims,106,2024-06-12
23,"Polls are starting to ""shift.""

Pollsters and pundidiots wanted a horse race. So they tried to manufacture one.

It's entirely possible that by the time of the election. the polls will show Biden winning by ~12 million votes, so they won't look foolish.

BUT don't get complacent.",162,2024-06-12
24,"Biden’s SEC is suing @coinbase in federal court arguing it doesn’t have a right to exist as an exchange.

At the same time, the Biden campaign is preparing to accept crypto donations via coinbase. 

H/t @prestonjbyrne https://t.co/m3L22rPQDC",2239,2024-06-12
25,"BREAKING: A Florida appeals court just refused to go along with Gov. Ron DeSantis’ argument that he can shield public records due to executive privilege. 

That's a win for transparency. https://t.co/Grn2ZWN4TA",17614,2024-06-12
26,"Biden can barely speak. We all see this, yes?",128,2024-06-12
27,It will be an exciting year for $MAGA leading up to the election 😉,206,2024-06-12
28,The best part about conservative women is you don’t have to question if they’re a woman or not.,360,2024-06-12
29,"GOP response to Florida Flooding!

'It's too soon to talk about Climate Change' https://t.co/OcgFhlCB1Q",706,2024-06-12
30,"@kasie Things like this is what happened Kasie and yes, the media pushing scams and hoaxes without vetting them thoroughly has led to the division, hate and chaos in this Country. It was never Trump that caused chaos- it was the media you are apart of and frankly, you should be ashamed https://t.co/Z9E2dlFqtO",151,2024-06-12
31,@Prolotario1 Donald Trump is actually a decendant of the Christ family. Look up his grandmother's maiden name. Look up his brothers middle name. Spaceforce is The order of the Star. https://t.co/1gaie3rrk8,108,2024-06-12
32,"@SenatorDurbin The Supreme Court updated their own code of conduct in November 2023. 

Congress does not rule over SCOTUS, an equal branch of government. 

SCOTUS can rule whatever you do as unconstitutional, and it’s in the trash. 
Face it, you don’t control the Judicial Branch of Government. https://t.co/rSW0kaPGAl",359,2024-06-12
33,@Travis_4_Trump I see where the mask ends plus Biden doesn’t talk that good.,492,2024-06-12
34,"Pierce Morgan bets Canadace Owens $100,000 that Brigitte Macron is a woman, after the conservative media personality claimed that she was born a MAN. 

“It’s this question about the French First Lady Brigitte Macron who you keep saying is a man. You’ve produced zero evidence that https://t.co/NQhbRPhCPC",2911,2024-06-12
35,@DouglasBluewave He said that I heard him but did his Maga cult really hear &amp; understand that? https://t.co/F5Gh3TCT5P,640,2024-06-12
36,"Electric vehicles are unpopular.  Our troops deserve to be driving around in 1992 Dodge Vipers.  Besides, you know Joe Biden has given Ukraine all our extension cords",248,2024-06-12
37,@BehizyTweets She must have been paid up front by Biden/soros🤷🏻,135,2024-06-12
38,"Every time I turn on the news there’s a story about how Joe Biden has to win every vote. Woo us all. That’s fine.

But I never hear the same about the felon trump. Does MSM believe he’s entitled to votes? No wooing necessary?

I’m sick of the double standard.

#Fresh
#wtpGOTV24 https://t.co/FicpbgBWpS",161,2024-06-12
39,"The Small Business Administration (SBA) announced that 18.1 million new business applications have been filed since Biden took office, the biggest boom in 25 years.

https://t.co/Rhtn3kQuMy",560,2024-06-12
40,"Biden Administration’s Dangerous Title IX Rewrite Struck Down By Texas Court
https://t.co/VaLHmaR6on",137,2024-06-12
41,"Join us for a Debate Watch Party on June 27 in Peoria as we cheer on President Trump taking on Joe Biden!

RSVP 👇 https://t.co/sqP7AhSxet",136,2024-06-12
42,"Yikes! This Hunter Biden text message is what got him convicted. Have you seen this?
https://t.co/Fat0szUMZj",196,2024-06-12
43,"@Acyn Memo to Donald Trump: If you break the law, you actually have to suffer some consequences for it.

Signed, JD Vance",222,2024-06-12
44,"Hunter is the Bag Man for the Biden Crime Family.

So of course he's getting a pardon.

You don’t even have to ask twice.",622,2024-06-12
45,"This is, for decades, what DOJ always said whenever Congress voted to hold WH or Exec. Branch officials in contempt of Congress: it's a complex dispute among equal branches.

Until, that is, Biden DOJ prosecuted Trump aides (Navarro and Bannon) for it:

https://t.co/yRi3plBA4c",1690,2024-06-12
