row_id,tweet_id,text,like_count,date
1,1801040031588454724,"@oskarzwittau @0grerogue @DenisonBarbs @joshgerstein @kyledcheney The guy behind and to the right of him isn't singing or dancing either.

I'll stick w/ Biden",0,2024-06-12
2,1801040613703389352,"@iu70us @Travis_4_Trump No. Not how it works. Biden simply didn't invoke Executive Privilege at various times he could have to allow Hurr to complete his investigation.

Transcript of the investigation exists. Biden simply invoked Executive Privilege for the audio portion, which, of course, is his right",0,2024-06-12
3,1801040016040149357,Kissing the hand of Biden on Juneteenth https://t.co/8rb38UcYL5,10,2024-06-12
4,1801041529336648114,@JesseBWatters The best way to get the feds to do a good job enforcing  gun laws is for Joe Biden to legally adopt all americans.,0,2024-06-12
5,1801039331693322423,"I want a president who is strong and will stand up for America. A president who won’t take any shit. A president who will speak honestly. Biden is none of those things…in fact, he’s the exact opposite.",2,2024-06-12
6,1801040690131927276,"@FFT1776 They are all criminals! Corrupted by the almighty dollar. Biden is a P.O.S. and so is trump. Red and Blue are not for you. 2 heads of the same snake. The day that people realize this and unite, is the day we can actually turn this country around. Politicians serve corporations",0,2024-06-12
7,1801040395230384231,"And Biden has claimed Executive privilege!

FU @GOP",0,2024-06-12
8,1801039722011136118,"@DougWahl1 No, I think it highlights how great a stepmom Jill Biden  is/ Joe Biden's kids are HER kids and she is there for them/ She is a fierce fighter for the family/ It only makes me applaud her more to know that she is the stepmom",0,2024-06-12
9,1801041377750376619,"Last Call for 6.12.24 — A prime-time read of what’s going down in Florida politics: Last Call — A prime-time read of what’s going down in Florida politics.  

 First Shot  

 Gov. Ron DeSantis signed Florida’s new budget, cutting close to $1 billion in… https://t.co/TwCNKALocm https://t.co/XweB16C20x",0,2024-06-12
10,1801039272717201714,@thetrueshelby Only the best are MAGA!  😂😂😂😂,0,2024-06-12
11,1801039590842683604,@RedEaglePatriot Doesn't matter Trump is no different from Joe Biden,0,2024-06-12
12,1801041741769757051,"🔥TOP Trending Coins TODAY🔥

1. $MAGA
2. $TOSHI
3. $MUMU
4. $WELSH
5. $BKN
6. #BITCOIN
7. $IXT
8. $MOCHI
9. $HGBT
10. $TRUMP
11. $ATH
12. $IO
13. $NORMIE
14. $SOL
15. $BRETT

$Crypto
Join our telegram channel for trading signals.
Channel Here : https://t.co/rZAmcBSRwm",2,2024-06-12
13,1801041151882842177,@OliLondonTV @wearetov Zionist doesn’t not equate to Judaism. There are anti-Zionist Jews and Christian Zionists like Biden and many evangelicals. Stop the amalgamation! That A- card has expired!,0,2024-06-12
14,1801040056129405129,"@Tenn_MAGA exactly, It would be pillow over head &amp; legs kicking like infants
I'm not coming out of this room! https://t.co/Qvrjt8O5v3",0,2024-06-12
15,1801039082757263646,"Read ""Bragg and Biden campaign ‘coordinated’ to influence 2024 election: FEC complaint' on SmartNews: https://t.co/li71xjLSKt",0,2024-06-12
16,1801040894210036059,"@RepAndyBiggsAZ Really on Bannon’s podcast?  And are you swapping stories about Ali Alexander grooming young MAGA boys and scheming with Putin?

It’s a sad day for #Arizona and America when our Elected
Officials are cool with hanging out with thieves and pedophile groomers.   This is reality https://t.co/Y1Aa0MXvEq",3,2024-06-12
17,1801040740711100653,Great job by Pete B's team. Biden administration is top notch in fixing things.,1,2024-06-12
18,1801041303116898802,@donkoclock @RJonesNews @MSNBC It is not just Fox that enables MAGA,0,2024-06-12
19,1801039125958762516,@DonaldTNews She hangs with a husband who farts and shits himself in public. Of course she is special. Jill Biden is class...Melania is 3rd class.,0,2024-06-12
20,1801039291344200155,@GOP Keep telling lies. It’s all your side can ever do.,1,2024-06-12
21,1801041750514966554,"@RpsAgainstTrump “I don’t care about you, I just want your vote. I don’t care.”
— Convicted Felon Donald Trump, 6/9/24",0,2024-06-12
22,1801041501289324681,@GuntherEagleman The way yall throw these accusations around about literally every non MAGA woman says so much about you,0,2024-06-12
23,1801040881920643128,@InterStarMedia I think that's what this administration wants... That way they can suspend the election. They know Biden can't win.,1,2024-06-12
24,1801039758530896045,"@Jurgen80048425 @JenC222 Pedo-incest, Joe Biden. https://t.co/gS4HxHzWZQ",2,2024-06-12
25,1801040442529562903,Biden has made it clear that he's willing to stand up to bullies like Big Pharma that price gouge Americans out of life saving care. He's committed to holding their greed accountable &amp; ensuring all Americans can afford the help they need. #BidenHarris4More https://t.co/wdlakNeCOE,0,2024-06-12
