Variable,Model,Mean_Abs_Deviation,Std_Deviation,Flagged
V1,GPT-4o,0.375,0.5758,False
V1,claude-haiku-4-5,0.2917,0.5204,False
V1,Llama-3.2-3B,0.625,0.7312,False
V2,GPT-4o,0.1458,0.3529,False
V2,claude-haiku-4-5,0.1042,0.3674,False
V2,Llama-3.2-3B,0.9792,0.8034,False
V3,GPT-4o,0.0208,0.1428,False
V3,claude-haiku-4-5,0.0,0.0,False
V3,Llama-3.2-3B,0.6875,0.7947,False
V4,GPT-4o,0.0625,0.2421,False
V4,claude-haiku-4-5,0.0,0.0,False
V4,Llama-3.2-3B,0.7083,0.8888,False
V5,GPT-4o,0.25,0.4841,False
V5,claude-haiku-4-5,0.2708,0.5099,False
V5,Llama-3.2-3B,0.6667,0.8375,False
V6,GPT-4o,0.375,0.6333,False
V6,claude-haiku-4-5,0.3542,0.5065,False
V6,Llama-3.2-3B,0.625,0.8323,False
V7,GPT-4o,0.3125,0.5586,False
V7,claude-haiku-4-5,0.2917,0.4787,False
V7,Llama-3.2-3B,0.5,0.75,False
V8,GPT-4o,0.5,0.7217,False
V8,claude-haiku-4-5,0.4792,0.7262,False
V8,Llama-3.2-3B,0.6042,0.8718,False
